timestamp,junction_id,vehicle_count,congestion_pct,traffic_level
2024-01-01 00:00:00,J-101,33,13,LOW
2024-01-01 00:00:00,J-102,27,12,LOW
2024-01-01 00:00:00,J-103,21,13,LOW
2024-01-01 00:00:00,J-104,18,13,LOW
2024-01-01 00:00:00,J-105,12,13,LOW
2024-01-01 00:00:00,J-106,8,13,LOW
2024-01-01 00:00:00,J-107,6,13,LOW
2024-01-01 00:00:00,J-108,28,12,LOW
2024-01-01 00:15:00,J-101,33,13,LOW
2024-01-01 00:15:00,J-102,28,13,LOW
2024-01-01 00:15:00,J-103,13,8,LOW
2024-01-01 00:15:00,J-104,16,11,LOW
2024-01-01 00:15:00,J-105,13,14,LOW
2024-01-01 00:15:00,J-106,7,11,LOW
2024-01-01 00:15:00,J-107,6,13,LOW
2024-01-01 00:15:00,J-108,31,13,LOW
2024-01-01 00:30:00,J-101,32,13,LOW
2024-01-01 00:30:00,J-102,30,13,LOW
2024-01-01 00:30:00,J-103,19,12,LOW
2024-01-01 00:30:00,J-104,16,11,LOW
2024-01-01 00:30:00,J-105,10,10,LOW
2024-01-01 00:30:00,J-106,6,9,LOW
2024-01-01 00:30:00,J-107,5,10,LOW
2024-01-01 00:30:00,J-108,32,13,LOW
2024-01-01 00:45:00,J-101,35,14,LOW
2024-01-01 00:45:00,J-102,26,12,LOW
2024-01-01 00:45:00,J-103,15,9,LOW
2024-01-01 00:45:00,J-104,15,10,LOW
2024-01-01 00:45:00,J-105,12,13,LOW
2024-01-01 00:45:00,J-106,8,13,LOW
2024-01-01 00:45:00,J-107,6,13,LOW
2024-01-01 00:45:00,J-108,31,13,LOW
2024-01-01 01:00:00,J-101,4,1,LOW
2024-01-01 01:00:00,J-102,3,1,LOW
2024-01-01 01:00:00,J-103,2,1,LOW
2024-01-01 01:00:00,J-104,2,1,LOW
2024-01-01 01:00:00,J-105,2,2,LOW
2024-01-01 01:00:00,J-106,1,1,LOW
2024-01-01 01:00:00,J-107,1,2,LOW
2024-01-01 01:00:00,J-108,5,,LOW
2024-01-01 01:15:00,J-101,6,2,LOW
2024-01-01 01:15:00,J-102,4,1,LOW
2024-01-01 01:15:00,J-103,3,1,LOW
2024-01-01 01:15:00,J-104,2,1,LOW
2024-01-01 01:15:00,J-105,1,1,LOW
2024-01-01 01:15:00,J-106,1,1,LOW
2024-01-01 01:15:00,J-107,0,0,LOW
2024-01-01 01:15:00,J-108,4,1,LOW
2024-01-01 01:30:00,J-101,3,1,LOW
2024-01-01 01:30:00,J-102,3,1,LOW
2024-01-01 01:30:00,J-103,2,1,LOW
2024-01-01 01:30:00,J-104,2,1,LOW
2024-01-01 01:30:00,J-105,1,1,LOW
2024-01-01 01:30:00,J-106,0,0,LOW
2024-01-01 01:30:00,J-107,0,0,LOW
2024-01-01 01:30:00,J-108,4,1,LOW
2024-01-01 01:45:00,J-101,5,2,LOW
2024-01-01 01:45:00,J-102,4,1,LOW
2024-01-01 01:45:00,J-103,3,1,LOW
2024-01-01 01:45:00,J-104,2,1,LOW
2024-01-01 01:45:00,J-105,1,1,LOW
2024-01-01 01:45:00,J-106,1,1,LOW
2024-01-01 01:45:00,J-107,0,0,LOW
2024-01-01 01:45:00,J-108,4,1,LOW
2024-01-01 02:00:00,J-101,5,2,LOW
2024-01-01 02:00:00,J-102,3,1,LOW
2024-01-01 02:00:00,J-103,2,1,LOW
2024-01-01 02:00:00,J-104,2,1,LOW
2024-01-01 02:00:00,J-105,1,1,LOW
2024-01-01 02:00:00,J-106,1,1,LOW
